Date,Time
"Thursday, Mar 28 2019",3:07
"Saturday, Mar 30 2019",3:47
"Sunday, Mar 31 2019",3:46
"Monday, Apr 1 2019",3:12
"Wednesday, Apr 3 2019",3:32
"Thursday, Apr 4 2019",3:29
"Friday, Apr 5 2019",3:36
"Saturday, Apr 6 2019",3:54
"Sunday, Apr 7 2019",3:04
"Monday, Apr 8 2019",3:12
"Wednesday, Apr 10 2019",3:10
"Thursday, Apr 11 2019",2:38
"Friday, Apr 12 2019",2:29
"Saturday, Apr 13 2019",3:56
"Monday, Apr 15 2019",3:27
"Tuesday, Apr 16 2019",2:49
"Wednesday, Apr 17 2019",2:25
"Friday, Apr 19 2019",3:24
"Saturday, Apr 20 2019",3:08
"Sunday, Apr 21 2019",2:28
"Tuesday, Apr 23 2019",2:56
"Wednesday, Apr 24 2019",2:48
"Thursday, Apr 25 2019",3:08
"Friday, Apr 26 2019",3:04
"Saturday, Apr 27 2019",3:05
"Sunday, Apr 28 2019",5:36
"Tuesday, Apr 30 2019",3:10
"Wednesday, May 1 2019",2:41
"Friday, May 3 2019",2:28
"Saturday, May 4 2019",3:03
"Sunday, May 5 2019",3:21
"Monday, May 6 2019",3:26
"Tuesday, May 7 2019",3:10
"Wednesday, May 8 2019",2:59
"Thursday, May 9 2019",2:59
"Friday, May 10 2019",3:18
"Saturday, May 11 2019",4:56
"Sunday, May 12 2019",2:55
"Tuesday, May 14 2019",2:39
"Wednesday, May 15 2019",3:27
"Thursday, May 16 2019",2:36
"Friday, May 17 2019",4:09
"Saturday, May 18 2019",2:56
"Sunday, May 19 2019",3:15
"Monday, May 20 2019",3:34
"Tuesday, May 21 2019",3:34
"Wednesday, May 22 2019",3:04
"Thursday, May 23 2019",3:55
"Friday, May 24 2019",3:19
"Saturday, May 25 2019",3:13
"Sunday, May 26 2019",3:27
"Monday, May 27 2019",3:12
"Tuesday, May 28 2019",3:08
"Wednesday, May 29 2019",2:37
"Friday, May 31 2019",3:24
"Saturday, Jun 1 2019",3:04
"Sunday, Jun 2 2019",2:38
"Monday, Jun 3 2019",3:00
"Tuesday, Jun 4 2019",2:34
"Wednesday, Jun 5 2019",3:22
"Thursday, Jun 6 2019",2:40
"Friday, Jun 7 2019",2:39
"Saturday, Jun 8 2019",3:27
"Sunday, Jun 9 2019",2:48
"Monday, Jun 10 2019",2:51
"Tuesday, Jun 11 2019",3:10
"Wednesday, Jun 12 2019",2:57
"Thursday, Jun 13 2019",2:48
"Friday, Jun 14 2019",3:06
"Saturday, Jun 15 2019",2:49
"Sunday, Jun 16 2019",3:05
"Tuesday, Jun 18 2019",2:44
"Wednesday, Jun 19 2019",3:18
"Thursday, Jun 20 2019",2:59
"Friday, Jun 21 2019",3:11
"Saturday, Jun 22 2019",3:01
"Sunday, Jun 23 2019",2:49
"Monday, Jun 24 2019",3:01
"Tuesday, Jun 25 2019",2:59
"Wednesday, Jun 26 2019",3:02
"Thursday, Jun 27 2019",3:02
"Friday, Jun 28 2019",3:12
"Saturday, Jun 29 2019",3:00
"Sunday, Jun 30 2019",3:20
"Monday, Jul 1 2019",3:15
"Tuesday, Jul 2 2019",2:43
"Wednesday, Jul 3 2019",3:19
"Thursday, Jul 4 2019",3:04
"Saturday, Jul 6 2019",3:26
"Sunday, Jul 7 2019",2:54
"Friday, Jul 12 2019",3:25
"Saturday, Jul 13 2019",3:12
"Sunday, Jul 14 2019",2:52
"Monday, Jul 15 2019",3:17
"Tuesday, Jul 16 2019",3:31
"Wednesday, Jul 17 2019",3:07
"Friday, Jul 19 2019",3:12
"Saturday, Jul 20 2019",3:25
"Sunday, Jul 21 2019",2:49
"Monday, Jul 22 2019",2:50
"Tuesday, Jul 23 2019",3:45
"Wednesday, Jul 24 2019",2:58
"Friday, Jul 26 2019",3:09
"Saturday, Jul 27 2019",3:32
