Date,Time
"Thursday, Mar 28 2019",3:12
"Saturday, Mar 30 2019",3:16
"Sunday, Mar 31 2019",2:57
"Monday, Apr 1 2019",3:02
"Wednesday, Apr 3 2019",3:01
"Friday, Apr 5 2019",3:36
"Saturday, Apr 6 2019",3:31
"Sunday, Apr 7 2019",3:49
"Monday, Apr 8 2019",3:25
"Tuesday, Apr 9 2019",3:56
"Wednesday, Apr 10 2019",3:00
"Friday, Apr 12 2019",2:43
"Saturday, Apr 13 2019",2:28
"Sunday, Apr 14 2019",3:21
"Monday, Apr 15 2019",3:02
"Tuesday, Apr 16 2019",2:39
"Wednesday, Apr 17 2019",4:04
"Thursday, Apr 18 2019",3:10
"Friday, Apr 19 2019",2:50
"Sunday, Apr 21 2019",2:49
"Monday, Apr 22 2019",3:26
"Tuesday, Apr 23 2019",2:56
"Wednesday, Apr 24 2019",2:56
"Friday, Apr 26 2019",4:02
"Sunday, Apr 28 2019",2:58
"Monday, Apr 29 2019",3:18
"Wednesday, May 1 (1) 2019",3:48
"Wednesday, May 1 (2) 2019",3:22
"Thursday, May 2 2019",3:33
"Friday, May 3 2019",3:15
"Saturday, May 4 2019",3:34
"Sunday, May 5 2019",3:33
"Monday, May 6 2019",3:01
"Tuesday, May 7 2019",2:58
"Wednesday, May 8 2019",2:50
"Thursday, May 9 2019",1:45
"Friday, May 10 2019",3:08
"Saturday, May 11 2019",3:20
"Sunday, May 12 2019",2:47
"Monday, May 13 2019",2:28
"Tuesday, May 14 2019",3:06
"Thursday, May 16 2019",3:16
"Friday, May 17 2019",3:14
"Saturday, May 18 2019",1:31
"Sunday, May 19 2019",3:06
"Monday, May 20 2019",2:40
"Tuesday, May 21 2019",2:53
"Wednesday, May 22 2019",3:16
"Thursday, May 23 2019",2:40
"Friday, May 24 2019",3:27
"Saturday, May 25 2019",3:16
"Sunday, May 26 2019",2:55
"Monday, May 27 2019",2:56
"Tuesday, May 28 2019",2:31
"Wednesday, May 29 2019",3:03
"Thursday, May 30 2019",3:10
"Friday, May 31 2019",2:41
"Saturday, Jun 1 2019",2:50
"Sunday, Jun 2 2019",2:30
"Tuesday, Jun 4 2019",3:33
"Wednesday, Jun 5 2019",3:07
"Friday, Jun 7 2019",3:22
"Saturday, Jun 8 2019",2:26
"Sunday, Jun 9 2019",3:02
"Monday, Jun 10 2019",3:06
"Tuesday, Jun 11 2019",3:19
"Thursday, Jun 13 2019",3:14
"Friday, Jun 14 2019",3:02
"Saturday, Jun 15 2019",3:27
"Sunday, Jun 16 2019",3:06
"Tuesday, Jun 18 2019",2:44
"Wednesday, Jun 19 2019",3:18
"Friday, Jun 21 2019",3:23
"Saturday, Jun 22 2019",3:04
"Sunday, Jun 23 2019",3:07
"Monday, Jun 24 2019",3:36
"Tuesday, Jun 25 2019",3:24
"Wednesday, Jun 26 2019",3:39
"Friday, Jun 28 2019",2:56
"Saturday, Jun 29 2019",3:14
"Sunday, Jun 30 2019",2:47
"Wednesday, Jul 3 (1) 2019",3:05
"Wednesday, Jul 3 (2) 2019",3:48
"Thursday, Jul 4 2019",3:27
"Saturday, Jul 6 2019",3:26
"Sunday, Jul 7 2019",2:54
"Friday, Jul 12 2019",3:10
"Saturday, Jul 13 2019",3:25
"Sunday, Jul 14 2019",2:47
"Monday, Jul 15 2019",3:04
"Tuesday, Jul 16 2019",2:44
"Wednesday, Jul 17 2019",3:11
"Thursday, Jul 18 2019",3:03
"Friday, Jul 19 2019",3:20
"Saturday, Jul 20 2019",3:38
"Sunday, Jul 21 2019",3:07
"Monday, Jul 22 2019",2:29
"Tuesday, Jul 23 2019",2:27
"Wednesday, Jul 24 2019",2:38
"Thursday, Jul 25 2019",3:01
"Friday, Jul 26 2019",2:50
"Saturday, Jul 27 2019",3:04
"Sunday, Jul 28 2019",3:14
"Tuesday, Jul 30 2019",3:51
"Wednesday, Jul 31 2019",3:27
"Thursday, Aug 1 2019",2:32
"Friday, Aug 2 2019",5:28
"Saturday, Aug 3 2019",3:05
"Sunday, Aug 4 2019",3:08
"Monday, Aug 5 2019",3:41
"Tuesday, Aug 6 (1) 2019",3:19
"Tuesday, Aug 6 (2) 2019",3:23
"Wednesday, Aug 7 2019",3:17
"Friday, Aug 9 2019",2:50
"Saturday, Aug 10 2019",3:19
"Sunday, Aug 11 2019",2:52
"Tuesday, Aug 13 (1) 2019",3:17
"Tuesday, Aug 13 (2) 2019",2:21
"Wednesday, Aug 14 2019",3:30
"Thursday, Aug 15 2019",2:56
"Friday, Aug 16 2019",3:11
"Saturday, Aug 17 2019",3:37
"Sunday, Aug 18 2019",2:55
"Monday, Aug 19 2019",3:27
"Tuesday, Aug 20 2019",2:55
"Wednesday, Aug 21 2019",3:16
"Thursday, Aug 22 2019",2:29
"Friday, Aug 23 2019",2:50
"Saturday, Aug 24 2019",3:06
"Sunday, Aug 25 2019",2:57
"Tuesday, Aug 27 2019",3:16
"Wednesday, Aug 28 2019",3:14
"Thursday, Aug 29 2019",3:20
"Friday, Aug 30 2019",3:28
"Saturday, Aug 31 2019",3:52
"Sunday, Sep 1 2019",3:08
"Monday, Sep 2 2019",4:07
"Tuesday, Sep 3 2019",3:05
"Wednesday, Sep 4 2019",3:54
"Thursday, Sep 5 2019",2:38
"Friday, Sep 6 2019",3:02
"Saturday, Sep 7 2019",3:32
"Sunday, Sep 8 2019",3:19
"Tuesday, Sep 10 2019",3:02
"Wednesday, Sep 11 2019",3:16
"Thursday, Sep 12 2019",3:08
"Friday, Sep 13 2019",3:47
"Saturday, Sep 14 2019",3:28
"Sunday, Sep 15 2019",3:44
"Monday, Sep 16 2019",2:42
"Tuesday, Sep 17 2019",4:51
