"","start_station_name","avg_start_lat","avg_start_lng","neighborhood"
"1","2112 W Peterson Ave",41.991178,-87.683593,"West Ridge"
"2","63rd St Beach",41.780910964248,-87.5763237476349,"Jackson Park"
"3","900 W Harrison St",41.8747558586759,-87.6498067755176,"Little Italy, UIC"
"4","Aberdeen St & Jackson Blvd",41.8777299784838,-87.6547837774528,"West Loop"
"5","Aberdeen St & Monroe St",41.8804202333748,-87.655517007039,"West Loop"
"6","Aberdeen St & Randolph St",41.8841137774813,-87.6542614632132,"West Loop"
"7","Ada St & 113th St",41.6875616233574,-87.6554757356644,"Morgan Park"
"8","Ada St & Washington Blvd",41.8828308056842,-87.6611970261765,"West Loop"
"9","Adler Planetarium",41.8660944856538,-87.6072692387648,"Museum Campus"
"10","Albany Ave & 26th St",41.8444845640838,-87.7019061179829,"Little Village"
"11","Albany Ave & Bloomingdale Ave",41.9140267483216,-87.7051264654077,"Logan Square"
"12","Albany Ave & Montrose Ave",41.961041,-87.705866,"Irving Park"
"13","Altgeld Gardens",41.6566655296737,-87.5988006591797,"Riverdale"
"14","Archer (Damen) Ave & 37th St",41.826712,-87.683144,"Mckinley Park"
"15","Artesian Ave & 71st St",41.7643440584286,-87.6844240085,"Chicago Lawn"
"16","Artesian Ave & Hubbard St",41.8895127059606,-87.6882050566258,"West Town"
"17","Artesian Ave & Marquette Rd",41.77203,-87.684637,"Chicago Lawn"
"18","Ashland Ave & 13th St",41.865234,-87.666507,"Little Italy, UIC"
"19","Ashland Ave & 50th St",41.803023,-87.664699,"New City"
"20","Ashland Ave & 63rd St",41.779374,-87.664843,"Englewood"
"21","Ashland Ave & 66th St",41.774074,-87.663815,"Englewood"
"22","Ashland Ave & 74th St",41.7592360242587,-87.6634740829468,"Englewood"
"23","Ashland Ave & 78th St",41.7522048494112,-87.663699388504,"Auburn Gresham"
"24","Ashland Ave & Archer Ave",41.8392086244865,-87.6656098294755,"Lower West Side"
"25","Ashland Ave & Augusta Blvd",41.8996320460227,-87.6676906535507,"East Village"
"26","Ashland Ave & Belle Plaine Ave",41.9560570291079,-87.6688350283223,"Lake View"
"27","Ashland Ave & Blackhawk St",41.9070611186597,-87.6672481251974,"West Town"
"28","Ashland Ave & Chicago Ave",41.8956850609819,-87.6676623637309,"West Town"
"29","Ashland Ave & Division St",41.9034471606775,-87.6677430878948,"Wicker Park"
"30","Ashland Ave & Garfield Blvd",41.792822,-87.664429,"Englewood"
"31","Ashland Ave & Grace St",41.9506861025379,-87.6687002407055,"Lake View"
"32","Ashland Ave & Grand Ave",41.8910730991561,-87.666600491399,"West Town"
"33","Ashland Ave & Lake St",41.8859192743841,-87.6671641961549,"United Center"
"34","Ashland Ave & McDowell Ave",41.80887,-87.66454,"New City"
"35","Ashland Ave & Pershing Rd",41.823465,-87.665577,"Mckinley Park"
"36","Ashland Ave & Wellington Ave",41.9360784883573,-87.6697980967804,"Lake View"
"37","Ashland Ave & Wrightwood Ave",41.9288283490931,-87.6685044418311,"Lincoln Park"
"38","Austin Blvd & Chicago Ave",41.894887,-87.774704,"Austin"
"39","Austin Blvd & Lake St",41.8879490922108,-87.7742768591429,"Austin"
"40","Austin Blvd & Madison St",41.880281,-87.774453,"Austin"
"41","Avenue O & 118th St",41.6810014591104,-87.5379312226869,"Hegewisch"
"42","Avenue O & 134th St",41.6518446596984,-87.5400160125962,"Hegewisch"
"43","Avers Ave & Belmont Ave",41.939408,-87.723574,"Avondale"
"44","Avondale Ave & Irving Park Rd",41.953393,-87.732002,"Irving Park"
"45","Baltimore Ave & 87th St",41.7373356004167,-87.5485146045685,"South Chicago"
"46","Bennett Ave & 79th St",41.751785,-87.578496,"South Shore"
"47","Bernard St & Elston Ave",41.949923,-87.713949,"Irving Park"
"48","Big Marsh Park",41.6858770556233,-87.573823928833,"South Deering"
"49","Bissell St & Armitage Ave ",41.918018,-87.652183,"Lincoln Park"
"50","Blackstone Ave & 59th St",41.7878770199745,-87.5904610434077,"Hyde Park"
"51","Blackstone Ave & Hyde Park Blvd",41.802562,-87.590368,"Kenwood"
"52","Blue Island Ave & 18th St",41.8575608520226,-87.6615325953269,"Lower West Side"
"53","Bosworth Ave & Howard St",42.019537,-87.669563,"Rogers Park"
"54","Bradley Park",41.717878301935,-87.5645917654037,"South Deering"
"55","Broadway & Argyle St",41.9738149787515,-87.6596600657654,"Uptown"
"56","Broadway & Barry Ave",41.9375801595526,-87.6440981871874,"Lake View"
"57","Broadway & Belmont Ave",41.9401010614488,-87.6454531425502,"Boystown"
"58","Broadway & Berwyn Ave",41.9783341022434,-87.6597674215822,"Edgewater"
"59","Broadway & Cornelia Ave",41.9455265506372,-87.6464423740193,"Boystown"
"60","Broadway & Granville Ave",41.9947796884,-87.6602845349,"Edgewater"
"61","Broadway & Ridge Ave",41.9840446343527,-87.6602738399278,"Edgewater"
"62","Broadway & Sheridan Rd",41.9528089422052,-87.6499925349116,"Lake View"
"63","Broadway & Thorndale Ave",41.98974251144,-87.6601406209,"Edgewater"
"64","Broadway & Waveland Ave",41.9490712013569,-87.6486368583717,"Boystown"
"65","Broadway & Wilson Ave",41.9652209955419,-87.658139052356,"Uptown"
"66","Buckingham - Fountain",41.876665,-87.620483,"Grant Park"
"67","Buckingham Fountain (Columbus/Balbo)",41.8731612869,-87.6219455871787,"Grant Park"
"68","Budlong Woods Library",41.983664693084,-87.6964225729177,"West Ridge"
"69","Burling St & Diversey Pkwy",41.9331399968492,-87.6477600028489,"Lake View"
"70","Burnham Greenway & 105th St",41.7045750872071,-87.5282317399979,"East Side"
"71","Burnham Greenway & 112th St",41.6917738511683,-87.5304311513901,"East Side"
"72","Burnham Harbor",41.8573295025926,-87.6137596179789,"Museum Campus"
"73","California Ave & 21st St",41.8537993739622,-87.6957534828448,"Little Village"
"74","California Ave & 23rd Pl",41.84910969176,-87.6951398068,"Little Village"
"75","California Ave & 26th St",41.8436799145765,-87.6949685811996,"Little Village"
"76","California Ave & 71st St",41.764748,-87.693121,"Chicago Lawn"
"77","California Ave & Altgeld St",41.92669,-87.697668,"Logan Square"
"78","California Ave & Byron St",41.95216219326,-87.698051113,"Irving Park"
"79","California Ave & Cortez St",41.9003567312176,-87.6966856758692,"Humboldt Park"
"80","California Ave & Division St",41.9030289996384,-87.6974739895991,"Humboldt Park"
"81","California Ave & Fletcher St",41.9384305280557,-87.6979981088622,"Avondale"
"82","California Ave & Francis Pl ",41.918489036228,-87.6974068532985,"Logan Square"
"83","California Ave & Granville Ave",41.9940278151719,-87.6993020962031,"West Ridge"
"84","California Ave & Lake St",41.88445395657,-87.6962981368,"Garfield Park"
"85","California Ave & Marquette Rd",41.771611,-87.693331,"Chicago Lawn"
"86","California Ave & Milwaukee Ave",41.9226950081364,-87.6971529958146,"Logan Square"
"87","California Ave & Montrose Ave",41.9610471283364,-87.6954270834773,"Irving Park"
"88","California Ave & North Ave",41.9104485412702,-87.6971928051269,"Humboldt Park"
"89","Calumet Ave & 18th St",41.8576409944565,-87.619475895627,"Near South Side"
"90","Calumet Ave & 21st St",41.8541910238784,-87.6191605428465,"Near South Side"
"91","Calumet Ave & 33rd St",41.8349036915724,-87.6179323345613,"Douglas"
"92","Calumet Ave & 35th St",41.8313790169875,-87.6180340148505,"Douglas"
"93","Calumet Ave & 51st St",41.80229465088,-87.6180535802,"Grand Boulevard"
